Decode1,Pal,
111.6us,0032,,
112us,0032,,
112.5us,0033,,
112.9us,0033,,
113.3us,0033,,
113.7us,0033,,
114.1us,0033,,
114.5us,0023,,
115us,0023,,
115.4us,0024,,
115.8us,0024,,
116.2us,0024,,
116.6us,0024,,
117us,0025,,
117.5us,0025,,
117.9us,0025,,
118.3us,0025,,
118.7us,0026,,
119.1us,0028,,
119.5us,0028,,
120us,0029,,
120.4us,0029,,
120.8us,0029,,
121.2us,002A,,
121.6us,002A,,
122us,002A,,
122.5us,0033,,
122.9us,0033,,
123.3us,0033,,
123.7us,0034,,
124.1us,0034,,
124.5us,0034,,
125us,0034,,
125.4us,0034,,
125.8us,0035,,
126.2us,0035,,
126.6us,0035,,
127us,0036,,
127.5us,0032,,
127.9us,0032,,
128.3us,0033,,
128.7us,0033,,
129.1us,0033,,
129.5us,0033,,
130us,0033,,
130.4us,0023,,
130.8us,0023,,
131.2us,0024,,
131.6us,0024,,
132us,0024,,
132.5us,0024,,
132.9us,0025,,
133.3us,0025,,
133.7us,0025,,
134.1us,0025,,
134.5us,0026,,
135us,0028,,
135.4us,0028,,
135.8us,0029,,
136.2us,0029,,
136.6us,0029,,
137us,002A,,
137.5us,002A,,
137.9us,002A,,
138.3us,0033,,
138.7us,0033,,
139.1us,0033,,
139.5us,0034,,
140us,0034,,
140.4us,0034,,
140.8us,0034,,
141.2us,0034,,
141.6us,0035,,
142us,0035,,
142.5us,0035,,
142.9us,0036,,
143.3us,0032,,
143.7us,0032,,
144.1us,0033,,
144.5us,0033,,
145us,0033,,
145.4us,0033,,
145.8us,0033,,
146.2us,0023,,
146.6us,0023,,
147us,0024,,
147.5us,0024,,
147.9us,0024,,
148.3us,0024,,
148.7us,0025,,
149.1us,0025,,
149.5us,0025,,
150us,0025,,
150.4us,0026,,
150.8us,0028,,
151.2us,0028,,
151.6us,0029,,
152us,0029,,
152.5us,0029,,
152.9us,002A,,
153.3us,002A,,
153.7us,002A,,
154.1us,0033,,
154.5us,0033,,
155us,0033,,
155.4us,0034,,
155.8us,0034,,
156.2us,0034,,
156.6us,0034,,
157us,0034,,
157.5us,0035,,
157.9us,0035,,
158.3us,0035,,
158.7us,0036,,
159.1us,0032,,
159.5us,0032,,
160us,0033,,
160.4us,0033,,
160.8us,0033,,
161.2us,0033,,
161.6us,0033,,
162us,0023,,
162.5us,0023,,
162.9us,0024,,
163.3us,0024,,
163.7us,0024,,
164.1us,0024,,
164.5us,0025,,
165us,0025,,
165.4us,0025,,
165.8us,0025,,
166.2us,0026,,
166.6us,0028,,
167us,0028,,
167.5us,0029,,
167.9us,0029,,
168.3us,0029,,
168.7us,002A,,
169.1us,002A,,
169.5us,002A,,
170us,0033,,
170.4us,0033,,
170.8us,0033,,
171.2us,0034,,
171.6us,0034,,
172us,0034,,
172.5us,0034,,
172.9us,0034,,
173.3us,0035,,
173.7us,0035,,
174.1us,0035,,
174.5us,0036,,
175us,0032,,
175.4us,0032,,
175.8us,0033,,
176.2us,0033,,
176.6us,0033,,
177us,0033,,
177.5us,0033,,
177.9us,0023,,
178.3us,0023,,
178.7us,0024,,
179.1us,0024,,
179.5us,0024,,
180us,0024,,
180.4us,0025,,
180.8us,0025,,
181.2us,0025,,
181.6us,0025,,
182us,0026,,
182.5us,0028,,
182.9us,0028,,
183.3us,0029,,
183.7us,0029,,
184.1us,0029,,
184.5us,002A,,
185us,002A,,
185.4us,002A,,
185.8us,0033,,
186.2us,0033,,
186.6us,0033,,
187us,0034,,
187.5us,0034,,
187.9us,0034,,
188.3us,0034,,
188.7us,0034,,
189.1us,0035,,
189.5us,0035,,
190us,0035,,
190.4us,0036,,
190.8us,0032,,
191.2us,0032,,
191.6us,0033,,
192us,0033,,
192.5us,0033,,
192.9us,0033,,
193.3us,0033,,
193.7us,0023,,
194.1us,0023,,
194.5us,0024,,
195us,0024,,
195.4us,0024,,
195.8us,0024,,
196.2us,0025,,
196.6us,0025,,
197us,0025,,
197.5us,0025,,
197.9us,0026,,
198.3us,0028,,
198.7us,0028,,
199.1us,0029,,
199.5us,0029,,
200us,0029,,
200.4us,002A,,
200.8us,002A,,
201.2us,002A,,
201.6us,0033,,
202us,0033,,
202.5us,0033,,
202.9us,0034,,
203.3us,0034,,
203.7us,0034,,
204.1us,0034,,
204.5us,0034,,
205us,0035,,
205.4us,0035,,
205.8us,0035,,
206.2us,0036,,
206.6us,0032,,
207us,0032,,
207.5us,0033,,
207.9us,0033,,
208.3us,0033,,
208.7us,0033,,
209.1us,0033,,
209.5us,0023,,
210us,0023,,
210.4us,0024,,
210.8us,0024,,
211.2us,0024,,
211.6us,0024,,
212us,0025,,
212.5us,0025,,
212.9us,0025,,
213.3us,0025,,
213.7us,0026,,
214.1us,0028,,
214.5us,0028,,
215us,0029,,
215.4us,0029,,
215.8us,0029,,
216.2us,002A,,
216.6us,002A,,
217us,002A,,
217.5us,0033,,
217.9us,0033,,
218.3us,0033,,
218.7us,0034,,
219.1us,0034,,
219.5us,0034,,
220us,0034,,
220.4us,0034,,
220.8us,0035,,
221.2us,0035,,
221.6us,0035,,
222us,0036,,
222.5us,0032,,
222.9us,0032,,
223.3us,0033,,
223.7us,0033,,
224.1us,0033,,
224.5us,0033,,
225us,0033,,
225.4us,0023,,
225.8us,0023,,
226.2us,0024,,
226.6us,0024,,
227us,0024,,
227.5us,0024,,
227.9us,0025,,
228.3us,0025,,
228.7us,0025,,
229.1us,0025,,
229.5us,0026,,
230us,0028,,
230.4us,0028,,
230.8us,0029,,
231.2us,0029,,
231.6us,0029,,
232us,002A,,
232.5us,002A,,
232.9us,002A,,
233.3us,0033,,
233.7us,0033,,
234.1us,0033,,
234.5us,0034,,
235us,0034,,
235.4us,0034,,
235.8us,0034,,
236.2us,0034,,
236.6us,0035,,
237us,0035,,
237.5us,0035,,
237.9us,0036,,
238.3us,0032,,
238.7us,0032,,
239.1us,0033,,
239.5us,0033,,
240us,0033,,
240.4us,0033,,
240.8us,0033,,
241.2us,0023,,
241.6us,0023,,
242us,0024,,
242.5us,0024,,
242.9us,0024,,
243.3us,0024,,
243.7us,0025,,
244.1us,0025,,
244.5us,0025,,
245us,0025,,
245.4us,0026,,
245.8us,0028,,
246.2us,0028,,
246.6us,0029,,
247us,0029,,
247.5us,0029,,
247.9us,002A,,
248.3us,002A,,
248.7us,002A,,
249.1us,0033,,
249.5us,0033,,
250us,0033,,
250.4us,0034,,
250.8us,0034,,
251.2us,0034,,
251.6us,0034,,
252us,0034,,
252.5us,0035,,
252.9us,0035,,
253.3us,0035,,
253.7us,0036,,
254.1us,0032,,
254.5us,0032,,
255us,0033,,
255.4us,0033,,
255.8us,0033,,
256.2us,0033,,
